127.0.0.1, 2015-03-30 09:43:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000682
127.0.0.1, 2015-03-30 09:43:21, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.546557
127.0.0.1, 2015-03-30 09:43:46, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.463731
127.0.0.1, 2015-03-30 09:43:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000491
127.0.0.1, 2015-03-30 09:44:43, GET, /examples/default/view, HTTP/1.1, 404, 0.017139
127.0.0.1, 2015-03-30 09:44:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000455
127.0.0.1, 2015-03-30 09:44:46, GET, /welcome/default/index, HTTP/1.1, 200, 0.034189
127.0.0.1, 2015-03-30 09:45:03, GET, /admin/default/delete/examples/views/demowebpy/ebay/templates/index.html, HTTP/1.1, 200, 0.102978
127.0.0.1, 2015-03-30 09:45:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000438
127.0.0.1, 2015-03-30 09:45:07, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.500756
127.0.0.1, 2015-03-30 09:45:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000424
127.0.0.1, 2015-03-30 09:45:10, GET, /admin/default/peek/examples/views/demowebpy/ebay/templates/view.html, HTTP/1.1, 200, 0.123877
127.0.0.1, 2015-03-30 09:45:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000434
127.0.0.1, 2015-03-30 09:45:14, GET, /admin/default/site, HTTP/1.1, 200, 0.045406
127.0.0.1, 2015-03-30 09:45:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000382
127.0.0.1, 2015-03-30 09:45:18, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.487044
127.0.0.1, 2015-03-30 09:45:18, GET, /admin/default/twitter.load, HTTP/1.1, 200, 3.396746
127.0.0.1, 2015-03-30 09:45:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000467
127.0.0.1, 2015-03-30 09:45:46, GET, /admin/default/peek/examples/views/demowebpy/blog/templates/view.html, HTTP/1.1, 200, 0.049234
127.0.0.1, 2015-03-30 09:45:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000443
127.0.0.1, 2015-03-30 09:45:54, GET, /admin/default/peek/examples/views/demowebpy/blog/templates/index.html, HTTP/1.1, 200, 0.037827
